TRANSACTION_ID,CUSTOMER_ID,PRODUCT_ID,TRANSACTION_DATE,AMOUNT,QUANTITY,STATUS,REGION,CURRENCY,CREATED_AT
91f9f844-c953-4da4-93c2-57610ac65eaf,CUST-0041,PROD-0004,2022-02-21,3710.34,16,PENDING,South Asia,USD,2026-05-28 14:19:57
eaf21f70-451d-4d10-8e5a-d2b6a71a5b5f,CUST-0044,PROD-0024,2022-06-28,2956.56,3,COMPLETED,North America,INR,2026-05-28 14:19:57
1b616598-fecc-4ce7-b3ab-8746c5ea0774,CUST-0015,PROD-0017,2022-02-24,2810.61,46,REFUNDED,South Asia,GBP,2026-05-28 14:19:57
39a62210-6421-46eb-b6b8-b25c0bd1c541,CUST-0038,PROD-0009,2022-01-14,3796.45,11,REFUNDED,Europe,EUR,2026-05-28 14:19:57
b9995202-ee76-460e-a561-1c6fc903581c,CUST-0010,PROD-0007,2023-11-21,520.03,25,COMPLETED,Europe,EUR,2026-05-28 14:19:57
a61d9ccd-a083-4bc6-b91b-9e0cfc905c26,CUST-0039,PROD-0009,2022-03-30,3651.36,35,COMPLETED,Middle East,USD,2026-05-28 14:19:57
04b8799f-eda7-4e39-9c0b-99a8a038aa8f,CUST-0036,PROD-0010,2024-01-11,2890.99,46,COMPLETED,North America,INR,2026-05-28 14:19:57
ee9f322c-52ed-4e27-8eab-5dbf2b153977,CUST-0050,PROD-0010,2022-06-13,4278.04,7,REFUNDED,Europe,GBP,2026-05-28 14:19:57
b42fffc7-8f51-4ae3-9825-5cf8c2fd458f,CUST-0041,PROD-0027,2024-01-18,821.64,23,PENDING,Europe,USD,2026-05-28 14:19:57
2aed59df-5fc6-46b8-9cce-4034d9635ff7,CUST-0039,PROD-0021,2022-12-17,2675.36,16,PENDING,Middle East,GBP,2026-05-28 14:19:57
fa1ec900-edfd-4428-820b-997e2673486f,CUST-0018,PROD-0030,2023-03-26,3426.23,50,COMPLETED,South Asia,USD,2026-05-28 14:19:57
4bf75b9b-e124-40cd-bfeb-d8dcaaaade68,CUST-0021,PROD-0013,2023-07-03,340.28,37,CANCELLED,South Asia,GBP,2026-05-28 14:19:57
0aba9c16-9024-4eba-86f6-0c8b931f616b,CUST-0026,PROD-0029,2024-07-28,722.93,9,PENDING,APAC,AED,2026-05-28 14:19:57
c68b8475-ffce-4ddb-8ca0-abdca2442203,CUST-0017,PROD-0024,2024-05-27,4490.14,26,CANCELLED,South Asia,INR,2026-05-28 14:19:57
b327df88-251d-4e79-b6cb-2a8dc6d513d0,CUST-0033,PROD-0016,2022-07-06,3781.35,8,PENDING,South Asia,GBP,2026-05-28 14:19:57
e746a933-eee8-4633-a01a-cab0e4ef58a2,CUST-0039,PROD-0003,2024-02-28,1914.28,30,CANCELLED,APAC,USD,2026-05-28 14:19:57
27f77973-bc06-4f02-a7cb-5d687a6c0f1d,CUST-0044,PROD-0024,2022-08-23,3411.73,35,CANCELLED,Europe,USD,2026-05-28 14:19:57
f1fe383c-7288-4684-9359-594812895f15,CUST-0019,PROD-0014,2022-11-20,2274.08,47,CANCELLED,APAC,INR,2026-05-28 14:19:57
2d1106f7-4868-4f30-a168-5314fda4bd60,CUST-0033,PROD-0030,2022-08-06,4353.89,20,PENDING,South Asia,EUR,2026-05-28 14:19:57
19eec643-da5c-44ef-9833-c2a1d0be84c0,CUST-0049,PROD-0006,2024-12-22,4593.28,39,CANCELLED,Middle East,USD,2026-05-28 14:19:57
