TRANSACTION_ID,CUSTOMER_ID,PRODUCT_ID,TRANSACTION_DATE,AMOUNT,QUANTITY,STATUS,REGION,CURRENCY,CREATED_AT
b35dd286-009a-402a-9684-0c93bccc62aa,,PROD-0026,2023-06-27,,12,PENDING,,USD,2026-05-28 14:19:57
3a1ab5b6-aac0-474a-8781-a206a550d2b4,,PROD-0020,2023-06-16,,7,REFUNDED,,USD,2026-05-28 14:19:57
42d12f14-f92f-4d1c-ac61-37452538e97e,,PROD-0013,2022-08-27,,42,REFUNDED,,GBP,2026-05-28 14:19:57
8c9e74ae-1330-469a-8410-83e7aff37aaa,,PROD-0024,2024-09-23,,40,CANCELLED,Middle East,EUR,2026-05-28 14:19:57
23a9e4c2-a8e7-42ed-939b-16e3183e2e35,CUST-0006,PROD-0005,2022-10-04,,8,COMPLETED,South Asia,USD,2026-05-28 14:19:57
9df03b3d-4e9a-4373-a37b-9c16a01bb1d0,CUST-0014,PROD-0016,2022-10-25,,28,PENDING,North America,EUR,2026-05-28 14:19:57
9f267977-c8ed-4b88-9911-4b7544ddbd4c,CUST-0050,PROD-0015,2022-10-31,2375.21,2,COMPLETED,South Asia,INR,2026-05-28 14:19:57
0721c361-7c24-4284-8b9e-bb09afd75f7b,CUST-0048,PROD-0023,2024-06-30,4819.7,31,COMPLETED,Middle East,AED,2026-05-28 14:19:57
5ad25de8-83d1-4eb5-95ea-dfc89fdaf4e3,CUST-0016,PROD-0007,2023-08-27,2851.46,26,COMPLETED,Europe,USD,2026-05-28 14:19:57
1390b52a-df7c-4f68-a2b3-0677e7952126,CUST-0007,PROD-0021,2024-06-03,4897.64,32,CANCELLED,North America,GBP,2026-05-28 14:19:57
b955a801-a134-438d-89fc-f503be8679bf,,PROD-0016,2024-11-17,,40,REFUNDED,,USD,2026-05-28 14:19:57
e1aa60e3-11f0-44d8-9922-9ea2a001da69,,PROD-0001,2024-05-14,,36,COMPLETED,,GBP,2026-05-28 14:19:57
39262c63-f61e-4c20-8c1c-5525ceb6611d,,PROD-0004,2024-10-10,,42,CANCELLED,,GBP,2026-05-28 14:19:57
b4f2400a-bab3-44b1-a010-420a9dc97584,,PROD-0006,2023-08-13,,31,CANCELLED,Middle East,INR,2026-05-28 14:19:57
abf5109a-0cf0-4a92-9c6e-08a3e8fdf02d,CUST-0033,PROD-0008,2023-11-26,,46,REFUNDED,South Asia,EUR,2026-05-28 14:19:57
2b8dbfe3-822e-4527-b1bc-9a6a84e5a9e0,CUST-0047,PROD-0023,2024-03-10,,44,CANCELLED,Middle East,INR,2026-05-28 14:19:57
b6da82f4-8ca9-4db8-9a0e-e36dfbb66a6c,CUST-0040,PROD-0007,2023-08-02,3456.58,6,REFUNDED,South Asia,INR,2026-05-28 14:19:57
0936b461-e62e-442d-970f-d3b6c0a97fce,CUST-0013,PROD-0006,2024-10-04,513.51,27,REFUNDED,Europe,INR,2026-05-28 14:19:57
972d948b-d30a-4c50-aebe-58a15d9d6047,CUST-0014,PROD-0018,2022-04-07,4996.31,23,CANCELLED,Europe,INR,2026-05-28 14:19:57
971ad941-3473-4903-88b5-d0fb964ba9b9,CUST-0012,PROD-0027,2024-10-28,169.53,5,CANCELLED,Middle East,USD,2026-05-28 14:19:57
ab8374cb-6094-4fb3-bd28-8687cff14339,,PROD-0008,2022-09-05,,32,CANCELLED,,EUR,2026-05-28 14:19:57
118c847a-9091-4c2f-890a-49b28fc2640e,,PROD-0002,2023-07-02,,45,COMPLETED,,GBP,2026-05-28 14:19:57
3ebe2f70-386c-42e1-ad92-bcf2aa63adc9,,PROD-0027,2022-08-16,,40,COMPLETED,,USD,2026-05-28 14:19:57
6077e4e5-2668-47b8-ba21-2cbbbe447e87,,PROD-0004,2022-12-09,,14,CANCELLED,South Asia,EUR,2026-05-28 14:19:57
c4606ca3-d430-4e1e-9af7-c3d5bb3c8780,CUST-0046,PROD-0015,2024-11-02,,7,PENDING,Europe,EUR,2026-05-28 14:19:57
3f4fb358-a5a3-4ba1-9696-7c0a6c8e1291,CUST-0009,PROD-0004,2023-02-18,,27,COMPLETED,South Asia,GBP,2026-05-28 14:19:57
