TRANSACTION_ID,CUSTOMER_ID,PRODUCT_ID,TRANSACTION_DATE,AMOUNT,QUANTITY,STATUS,REGION,CURRENCY,CREATED_AT
31d5b7cf-3ab4-4702-b853-05294b0b9a9f,CUST-0047,PROD-0006,not-a-date,unknown,many,PENDING,Middle East,AED,2026-05-28 14:19:57
12d1f93d-b53c-4013-b95e-693526d9d2fd,CUST-0010,PROD-0003,2024-05-23,1233.82,42,REFUNDED,North America,AED,2026-05-28 14:19:57
7f1577f1-b264-49af-8edd-a9e8db030613,CUST-0009,PROD-0024,2022-01-25,3020.43,25,REFUNDED,North America,USD,2026-05-28 14:19:57
cebf909f-b2c7-440d-be79-daf0dfbe0344,CUST-0001,PROD-0025,2022-03-31,669.57,50,COMPLETED,Europe,INR,2026-05-28 14:19:57
72822f03-2642-4768-8a4d-8f6752bb468b,CUST-0041,PROD-0020,2022-01-28,??,1,COMPLETED,APAC,EUR,2026-05-28 14:19:57
158d56d3-4a15-4c1c-bd05-99c969e8c6e9,CUST-0046,PROD-0003,dd/mm/yyyy,704.76,49,REFUNDED,South Asia,EUR,2026-05-28 14:19:57
5c2a1c47-6af3-44e1-97ff-5af84c7bd033,CUST-0031,PROD-0005,2023-05-15,288.82,many,CANCELLED,APAC,USD,2026-05-28 14:19:57
db4acefc-d48c-4763-a26b-6f140655e9bc,CUST-0002,PROD-0027,2022-04-02,523.05,19,COMPLETED,APAC,GBP,2026-05-28 14:19:57
6df6fe8a-9301-4442-bd49-fa01f9d30bd8,CUST-0010,PROD-0001,2023-04-05,TBD,28,REFUNDED,South Asia,EUR,2026-05-28 14:19:57
0e6607c7-1a12-4f8c-a38c-3c4d6063cf95,CUST-0019,PROD-0008,2024-02-27,3436.96,46,COMPLETED,Middle East,INR,2026-05-28 14:19:57
fe645a19-e1ac-478f-b6cc-cd74df8d2d0d,CUST-0008,PROD-0008,dd/mm/yyyy,4782.77,19,CANCELLED,North America,AED,2026-05-28 14:19:57
c7160b39-c448-421a-9a9f-f649065bbb30,CUST-0008,PROD-0012,2022-06-23,4478.98,39,PENDING,South Asia,GBP,2026-05-28 14:19:57
f395955a-ebde-4308-9556-7dad82499965,CUST-0034,PROD-0011,2023-01-07,#REF!,many,CANCELLED,APAC,EUR,2026-05-28 14:19:57
d272f90a-0299-4de1-89ba-42a4c6529e5e,CUST-0007,PROD-0009,2024-10-19,3312.04,17,COMPLETED,North America,INR,2026-05-28 14:19:57
8c1c1a12-363e-4a7a-8d04-e54eed57c956,CUST-0050,PROD-0021,2022-10-28,1608.08,25,REFUNDED,Middle East,USD,2026-05-28 14:19:57
eb92588c-0d08-4280-9c66-a5d30820102a,CUST-0008,PROD-0019,32-13-2023,4798.33,18,PENDING,North America,EUR,2026-05-28 14:19:57
2c54e90c-effe-457e-b914-9ced3c341cf3,CUST-0012,PROD-0025,2024-02-28,---,32,REFUNDED,Middle East,GBP,2026-05-28 14:19:57
81942699-6a88-4f5a-a077-2670c7e4a0a8,CUST-0041,PROD-0011,2022-10-11,4012.68,42,PENDING,Middle East,GBP,2026-05-28 14:19:57
